account_id,business_name,industry,state,disbursement_date,funding_amount,repayment_term_months,factor_rate,origination_fee,repayment_status,monthly_payment_amount
ACC-0022,Trailhead Family Dental,Healthcare,PA,2023-07-04,19500,6,1.31,380.77,Paid Off,4257.5
ACC-0023,Summit Kitchen,Food & Beverage,CO,2024-07-20,62000,12,1.233,968.01,On Track,6370.5
ACC-0024,Stonebridge Freight,Logistics,TN,2024-07-21,131000,9,1.159,2583.36,On Track,16869.89
ACC-0025,Pioneer Masonry,Construction,LA,2024-03-20,72000,9,1.395,2028.15,On Track,11160.0
ACC-0026,Crossroads Commerce Co.,E-Commerce,NH,2024-07-18,60500,9,1.203,1735.13,On Track,8086.83
ACC-0027,New Day Physical Therapy,Healthcare,DE,2024-02-28,40500,9,1.166,674.1,On Track,5247.0
ACC-0028,Lakeside Excavation,Construction,MD,2023-10-04,56000,12,1.377,1224.77,Paid Off,6426.0
ACC-0029,Golden State Online,E-Commerce,PA,2024-06-23,48000,9,1.255,994.57,On Track,6693.33
ACC-0030,Liberty Home Health,Healthcare,IN,2024-09-02,35500,6,1.267,793.08,On Track,7496.42
ACC-0031,New Day Dermatology,Healthcare,CT,2024-09-06,47000,12,1.224,1096.08,On Track,4794.0
ACC-0032,Maple Lane Pizzeria,Food & Beverage,NE,2023-06-05,61500,9,1.408,941.19,Late,9621.33
ACC-0033,Mainline Goods,Retail,FL,2024-05-09,36000,9,1.239,994.81,On Track,4956.0
ACC-0034,Pioneer Commerce Co.,E-Commerce,KS,2023-01-04,35500,9,1.213,1050.98,On Track,4784.61
ACC-0035,Rocky Peak Freight,Logistics,MN,2024-02-23,26000,12,1.243,644.83,On Track,2693.17
ACC-0036,Rocky Peak Mercantile,Retail,NH,2024-02-22,68000,9,1.211,1693.66,Late,9149.78
ACC-0037,Copper Trucking,Logistics,NY,2023-09-23,74000,12,1.245,1696.06,Late,7677.5
ACC-0038,Patriot Electric,Construction,ND,2024-12-27,62500,18,1.175,1250.88,Late,4079.86
ACC-0039,Cedar Grove Pizzeria,Food & Beverage,TX,2024-10-07,93500,12,1.198,1611.44,Paid Off,9334.42
ACC-0040,Willow DTC,E-Commerce,AR,2023-01-29,57500,9,1.275,1366.25,On Track,8145.83
ACC-0041,Harbor Dry Goods,Retail,ME,2023-06-02,68000,12,1.414,1065.84,On Track,8012.67
ACC-0042,Rocky Peak Contracting,Construction,AL,2023-06-02,65000,9,1.167,1778.89,On Track,8428.33
ACC-0043,Pioneer Remodeling,Construction,AL,2024-10-18,52500,9,1.214,1118.97,Paid Off,7081.67
ACC-0044,Ironclad Wellness Clinic,Healthcare,HI,2024-01-15,41000,12,1.423,870.07,Paid Off,4861.92
ACC-0045,Summit Mercantile,Retail,NJ,2024-06-16,186000,9,1.417,3702.81,On Track,29284.67
ACC-0046,Harbor Logistics Group,Logistics,VT,2024-08-15,43000,6,1.354,1270.23,Late,9703.67
ACC-0047,Cedar Grove Dermatology,Healthcare,RI,2024-07-15,38000,9,1.222,669.7,On Track,5159.56
ACC-0048,Compass Hauling,Logistics,NC,2023-03-07,70000,6,1.276,1208.87,On Track,14886.67
ACC-0049,Pine Hollow Builders,Construction,RI,2023-04-13,63000,9,1.213,1101.43,On Track,8491.0
ACC-0050,Evergreen Masonry,Construction,FL,2023-10-16,25500,12,1.189,634.39,Late,2526.62
ACC-0051,Summit Builders,Construction,TN,2023-09-05,102000,18,1.264,3047.6,Defaulted,7162.67
ACC-0052,Redwood Eatery,Food & Beverage,VT,2024-06-30,52000,6,1.323,963.67,On Track,11466.0
ACC-0053,Rocky Peak Medical Group,Healthcare,CA,2023-04-25,30000,12,1.258,857.53,Defaulted,3145.0
ACC-0054,Prairie Wellness Clinic,Healthcare,MS,2023-09-29,106000,9,1.333,2033.0,Late,15699.78
ACC-0055,Coastal Family Dental,Healthcare,TN,2023-06-22,77500,6,1.239,1915.68,Late,16003.75
ACC-0056,Meridian Outfitters,Retail,MS,2023-05-19,27500,9,1.254,429.21,Late,3831.67
ACC-0057,Coastal Outlet,E-Commerce,TX,2023-05-07,146000,6,1.387,3275.48,On Track,33750.33
ACC-0058,Sapphire Emporium,Retail,WA,2023-05-23,79000,9,1.413,1960.67,Late,12403.0
ACC-0059,Willow Remodeling,Construction,MS,2024-02-17,54500,9,1.247,1255.94,Paid Off,7551.28
ACC-0060,Golden State Masonry,Construction,AZ,2023-10-27,132000,9,1.321,2450.91,Paid Off,19374.67
ACC-0061,Market Street Dispatch,Logistics,LA,2023-11-15,60000,12,1.233,1645.65,On Track,6165.0
ACC-0062,Rocky Peak Contracting,Construction,HI,2023-12-17,54000,6,1.166,1595.81,Paid Off,10494.0
ACC-0063,Golden State Dermatology,Healthcare,MS,2024-06-25,38500,6,1.371,842.69,Defaulted,8797.25
ACC-0064,Willow Delivery Co.,Logistics,NJ,2024-09-21,75500,6,1.201,1852.68,On Track,15112.58
ACC-0065,Prairie Vision Center,Healthcare,MS,2024-01-20,71500,12,1.278,1920.22,Defaulted,7614.75
ACC-0066,Cedar Grove Coffee Co.,Food & Beverage,GA,2024-04-14,55500,9,1.296,1033.54,On Track,7992.0
ACC-0067,Golden State Hauling,Logistics,KS,2024-06-23,35500,12,1.205,992.82,On Track,3564.79
ACC-0068,Rocky Peak Dermatology,Healthcare,ND,2024-05-19,59000,9,1.178,1132.98,On Track,7722.44
ACC-0069,Stonebridge Outfitters,Retail,AK,2023-04-09,53000,6,1.254,1411.79,Late,11077.0
ACC-0070,Lone Star Vision Center,Healthcare,HI,2024-12-19,26500,18,1.436,442.06,Paid Off,2114.11
ACC-0071,Patriot HVAC Services,Construction,VT,2023-05-01,24500,6,1.335,473.48,On Track,5451.25
ACC-0072,Trailhead Grill,Food & Beverage,CA,2023-10-29,75000,6,1.264,1725.32,Paid Off,15800.0
ACC-0073,Maple Lane Wellness Clinic,Healthcare,MA,2024-04-22,13000,6,1.162,297.36,On Track,2517.67
ACC-0074,New Day Outfitters,Retail,HI,2023-10-22,61500,18,1.33,1707.02,On Track,4544.17
ACC-0075,Old Town Roofing,Construction,CO,2023-06-27,42500,12,1.178,1272.53,Late,4172.08
ACC-0076,Harbor Urgent Care,Healthcare,MI,2024-11-05,113000,12,1.313,1876.72,Paid Off,12364.08
ACC-0077,Emerald Grill,Food & Beverage,NE,2023-02-22,42000,18,1.376,800.97,Late,3210.67
ACC-0078,Horizon Coffee Co.,Food & Beverage,FL,2023-06-29,79000,6,1.277,1608.75,Paid Off,16813.83
ACC-0079,Prairie DTC,E-Commerce,AR,2024-12-26,44000,18,1.24,976.09,Defaulted,3031.11
ACC-0080,New Day HVAC Services,Construction,CT,2024-06-17,58500,9,1.164,1310.91,On Track,7566.0
ACC-0081,Stonebridge Cartage,Logistics,NC,2023-03-05,82500,12,1.157,2297.04,On Track,7954.38
ACC-0082,Mainline Physical Therapy,Healthcare,UT,2024-07-05,42500,9,1.279,1128.73,On Track,6039.72
ACC-0083,Old Town Supply Co.,Retail,GA,2024-12-09,95000,9,1.415,1451.86,Paid Off,14936.11
ACC-0084,Emerald Plumbing,Construction,KY,2023-03-13,32000,18,1.223,698.41,Paid Off,2174.22
ACC-0085,Keystone Online,E-Commerce,LA,2023-10-30,64500,6,1.322,1565.49,Paid Off,14211.5
ACC-0086,Lakeside HVAC Services,Construction,ME,2023-12-09,91500,18,1.355,2004.39,On Track,6887.92
ACC-0087,Lone Star Emporium,Retail,IL,2023-04-06,79000,9,1.168,1339.81,On Track,10252.44
ACC-0088,Stonebridge Bistro,Food & Beverage,AZ,2023-05-27,158000,12,1.196,3312.01,Paid Off,15747.33
ACC-0089,Harbor Electric,Construction,NE,2023-05-08,36000,18,1.249,762.29,Defaulted,2498.0
ACC-0090,Urban Electric,Construction,LA,2023-05-16,26000,6,1.351,463.21,On Track,5854.33
ACC-0091,Sapphire Medical Group,Healthcare,LA,2023-10-22,32000,18,1.282,843.03,On Track,2279.11
ACC-0092,Willow Masonry,Construction,IN,2023-12-06,79000,12,1.37,1565.86,On Track,9019.17
ACC-0093,Sapphire Hauling,Logistics,WA,2023-06-23,72500,12,1.41,1728.02,On Track,8518.75
ACC-0094,Emerald Urgent Care,Healthcare,NM,2023-07-31,58000,6,1.378,1318.69,On Track,13320.67
ACC-0095,Golden State Logistics Group,Logistics,MA,2023-05-21,29500,12,1.448,830.76,On Track,3559.67
ACC-0096,Urban Taproom,Food & Beverage,HI,2024-08-04,84000,12,1.376,1413.74,Paid Off,9632.0
ACC-0097,Silver Creek Grill,Food & Beverage,SD,2023-06-04,28000,9,1.406,467.99,On Track,4374.22
ACC-0098,Cedar Grove Masonry,Construction,VT,2024-10-25,104000,6,1.4,2028.5,On Track,24266.67
ACC-0099,Cedar Grove Shop,E-Commerce,AK,2024-01-29,250000,9,1.369,5367.06,On Track,38027.78
ACC-0100,New Day Supply Co.,Retail,WA,2024-08-09,67500,18,1.391,1314.77,Defaulted,5216.25
ACC-0101,Pioneer Remodeling,Construction,OH,2024-04-10,76000,6,1.43,2010.03,On Track,18113.33
ACC-0102,Willow Eatery,Food & Beverage,CA,2023-07-14,42000,12,1.293,784.52,On Track,4525.5
ACC-0103,Maple Lane Carpentry,Construction,PA,2024-03-15,20500,18,1.341,333.57,On Track,1527.25
ACC-0104,Mainline Supply Co.,Retail,CO,2023-07-20,39500,6,1.304,837.68,Paid Off,8584.67
ACC-0105,Beacon Electric,Construction,AZ,2023-03-28,30000,6,1.405,798.02,Late,7025.0
ACC-0106,Cascade Remodeling,Construction,CO,2023-07-06,25000,12,1.279,693.96,On Track,2664.58
ACC-0107,Golden State Plumbing,Construction,MN,2023-07-21,142000,6,1.396,3692.02,On Track,33038.67
ACC-0108,Pine Hollow Commerce Co.,E-Commerce,NM,2023-04-09,64000,12,1.39,1495.57,On Track,7413.33
ACC-0109,Highland Chiropractic,Healthcare,MA,2023-01-18,68000,12,1.439,1758.68,Paid Off,8154.33
ACC-0110,Ironclad Contracting,Construction,CT,2024-11-20,46500,12,1.225,1172.77,Defaulted,4746.88
ACC-0111,Ironclad Kitchen,Food & Beverage,GA,2024-01-11,50000,9,1.363,925.77,On Track,7572.22
ACC-0112,Market Street Excavation,Construction,TX,2023-10-21,93500,12,1.377,2174.94,On Track,10729.12
ACC-0113,Hometown Online,E-Commerce,WI,2024-11-10,54000,12,1.431,1434.19,Late,6439.5
ACC-0114,Evergreen Physical Therapy,Healthcare,PA,2023-06-14,73500,9,1.422,1452.13,Paid Off,11613.0
ACC-0115,Granite Shop,E-Commerce,CO,2023-10-22,49500,12,1.322,1228.08,On Track,5453.25
ACC-0116,Bayview Digital,E-Commerce,SD,2024-09-10,45500,18,1.324,1011.11,On Track,3346.78
ACC-0117,Beacon Trading Co.,Retail,OH,2024-04-07,25500,12,1.2,574.96,On Track,2550.0
ACC-0118,Evergreen Market,Retail,NE,2023-10-19,18500,9,1.442,302.49,Late,2964.11
ACC-0119,Trailhead Kitchen,Food & Beverage,DE,2023-07-07,47500,9,1.227,1187.18,Paid Off,6475.83
ACC-0120,Sunrise Dry Goods,Retail,WY,2023-01-26,56500,6,1.367,1581.17,Paid Off,12872.58
ACC-0121,Vanguard Home Health,Healthcare,MN,2023-03-04,27000,9,1.389,462.28,Late,4167.0
ACC-0122,Prairie Plumbing,Construction,AZ,2023-04-29,54000,6,1.282,1106.55,On Track,11538.0
ACC-0123,Vanguard Digital,E-Commerce,HI,2024-07-29,56500,18,1.213,888.75,On Track,3807.47
ACC-0124,Northwind Pediatrics,Healthcare,MA,2024-04-12,17000,9,1.207,262.56,On Track,2279.89
ACC-0125,Liberty Trucking,Logistics,AR,2023-11-13,33000,12,1.407,984.88,Late,3869.25
ACC-0126,Pine Hollow Shop,E-Commerce,KY,2024-07-26,69000,6,1.303,1545.74,Paid Off,14984.5
ACC-0127,Pine Hollow Apparel,Retail,MS,2023-04-28,68000,9,1.177,1382.63,On Track,8892.89
ACC-0128,Evergreen Carpentry,Construction,WV,2023-06-04,29000,9,1.365,554.57,On Track,4398.33
ACC-0129,Rocky Peak Storefront,E-Commerce,CA,2023-10-15,60000,9,1.225,1782.01,Paid Off,8166.67
ACC-0130,Sunrise Shop,E-Commerce,NH,2024-11-01,96500,12,1.413,1812.63,Paid Off,11362.88
ACC-0131,Meridian DTC,E-Commerce,VA,2024-03-25,84500,18,1.243,2187.34,Paid Off,5835.19
ACC-0132,Stonebridge Storefront,E-Commerce,SD,2024-09-14,52000,18,1.21,1001.33,On Track,3495.56
ACC-0133,Compass Trading Co.,Retail,WA,2023-07-01,42500,6,1.175,682.44,Defaulted,8322.92
ACC-0134,Keystone DTC,E-Commerce,FL,2024-09-12,39000,12,1.303,984.72,Late,4234.75
ACC-0135,Midtown Builders,Construction,SD,2023-02-22,71000,6,1.285,1066.74,Paid Off,15205.83
ACC-0136,Liberty Bistro,Food & Beverage,WI,2023-06-16,61000,18,1.375,1533.31,Paid Off,4659.72
ACC-0137,Compass Fulfillment,E-Commerce,KY,2024-01-18,78000,12,1.289,1462.94,Defaulted,8378.5
ACC-0138,Lone Star Outfitters,Retail,MO,2023-02-06,59000,9,1.253,1545.3,Defaulted,8214.11
ACC-0139,Vanguard Wellness Clinic,Healthcare,NE,2024-09-19,86500,6,1.228,2296.25,Paid Off,17703.67
ACC-0140,Prairie Home Health,Healthcare,MO,2024-09-26,58000,6,1.233,1499.97,On Track,11919.0
ACC-0141,Keystone Fleet Services,Logistics,IA,2024-01-31,84500,9,1.428,1298.53,On Track,13407.33
ACC-0142,Old Town Taproom,Food & Beverage,WI,2023-08-12,89000,18,1.2,2274.49,Late,5933.33
ACC-0143,Redwood Eatery,Food & Beverage,WV,2023-03-14,35500,12,1.446,1059.75,Paid Off,4277.75
ACC-0144,Pioneer Dermatology,Healthcare,MD,2024-03-28,20500,18,1.248,382.11,On Track,1421.33
ACC-0145,Heritage Trucking,Logistics,SD,2024-01-29,128500,6,1.177,2456.09,On Track,25207.42
ACC-0146,Pine Hollow Cartage,Logistics,MD,2024-07-09,63500,12,1.225,1727.38,Defaulted,6482.29
ACC-0147,Mainline Trading Co.,Retail,SC,2024-03-16,21500,9,1.168,374.23,Late,2790.22
ACC-0148,Midtown Kitchen,Food & Beverage,NJ,2023-04-04,37000,12,1.387,921.62,Defaulted,4276.58
ACC-0149,Hometown Remodeling,Construction,MS,2023-03-31,84000,9,1.304,2211.33,On Track,12170.67
ACC-0150,Ironclad Emporium,Retail,CT,2024-07-24,47000,9,1.251,731.2,Late,6533.0
ACC-0151,Lone Star Cartage,Logistics,NC,2023-04-27,41500,12,1.349,967.22,Late,4665.29
ACC-0152,Trailhead Cafe,Food & Beverage,KY,2024-11-17,119000,6,1.339,2812.94,On Track,26556.83
ACC-0153,Downtown Trucking,Logistics,HI,2023-03-19,31000,9,1.432,606.1,On Track,4932.44
ACC-0154,Golden State Smokehouse,Food & Beverage,GA,2024-06-16,35500,12,1.438,999.15,Defaulted,4254.08
ACC-0155,Old Town Family Dental,Healthcare,WY,2024-12-13,62000,6,1.354,1081.36,On Track,13991.33
ACC-0156,Brookstone Direct,E-Commerce,CO,2023-11-19,68000,18,1.395,1391.48,Paid Off,5270.0
ACC-0157,Silver Creek Mercantile,Retail,SC,2023-02-11,72500,12,1.388,2010.43,Paid Off,8385.83
ACC-0158,Silver Creek Marketplace,E-Commerce,UT,2024-10-02,91000,12,1.297,1625.23,Paid Off,9835.58
ACC-0159,Crossroads Fulfillment,E-Commerce,AK,2023-05-17,61500,12,1.361,1680.22,On Track,6975.12
ACC-0160,Beacon HVAC Services,Construction,NJ,2024-01-21,72000,12,1.173,1165.39,Paid Off,7038.0
ACC-0161,Summit Freight,Logistics,NH,2024-12-20,47500,12,1.377,1061.08,On Track,5450.62
ACC-0162,Cascade Direct,E-Commerce,LA,2024-06-28,57000,18,1.439,919.41,Late,4556.83
ACC-0163,Mainline Home Health,Healthcare,ND,2023-02-03,58500,12,1.175,1472.36,On Track,5728.12
ACC-0164,Mainline Pediatrics,Healthcare,MA,2024-08-22,62000,9,1.401,1665.26,Paid Off,9651.33
ACC-0165,Willow Pediatrics,Healthcare,MI,2023-04-28,84000,6,1.43,2330.82,Late,20020.0
ACC-0166,Prairie Masonry,Construction,MI,2024-07-01,74500,12,1.218,2214.06,On Track,7561.75
ACC-0167,Horizon Pizzeria,Food & Beverage,SD,2024-03-29,56500,6,1.307,1417.03,On Track,12307.58
ACC-0168,Emerald Kitchen,Food & Beverage,NY,2023-07-30,35000,9,1.428,928.76,Late,5553.33
ACC-0169,Beacon Urgent Care,Healthcare,ME,2023-11-06,57000,6,1.438,1287.42,On Track,13661.0
ACC-0170,Compass Supply Co.,Retail,WA,2023-03-28,54000,12,1.188,1549.32,On Track,5346.0
ACC-0171,First Avenue Trading Co.,Retail,SD,2024-12-22,61000,6,1.255,1504.04,On Track,12759.17
ACC-0172,Keystone Dry Goods,Retail,WA,2023-06-24,185000,12,1.359,5226.86,Defaulted,20951.25
ACC-0173,Midtown HVAC Services,Construction,OR,2023-08-14,41000,12,1.216,759.8,Paid Off,4154.67
ACC-0174,Cedar Grove Remodeling,Construction,MD,2024-01-03,69500,12,1.247,1560.35,On Track,7222.21
ACC-0175,Patriot Excavation,Construction,RI,2024-05-06,99000,9,1.157,2568.78,Defaulted,12727.0
ACC-0176,Coastal Vision Center,Healthcare,KY,2024-01-05,58000,12,1.196,1046.37,On Track,5780.67
ACC-0177,Sunrise Carpentry,Construction,IN,2024-01-05,199000,12,1.319,3615.85,On Track,21873.42
ACC-0178,Downtown Supply Co.,Retail,MN,2024-03-01,44500,9,1.346,1320.34,On Track,6655.22
ACC-0179,Maple Lane Express,Logistics,WI,2024-09-18,65500,12,1.345,1409.5,On Track,7341.46
ACC-0180,Highland Shop,E-Commerce,NH,2023-10-16,35500,9,1.384,629.32,On Track,5459.11
ACC-0181,Sapphire Cartage,Logistics,MD,2024-08-31,45500,18,1.275,908.72,Paid Off,3222.92
ACC-0182,Mainline Supply Co.,Retail,MS,2024-07-29,63000,6,1.232,1320.52,On Track,12936.0
ACC-0183,Pine Hollow Wellness Clinic,Healthcare,IA,2024-12-03,87500,12,1.155,2130.3,Paid Off,8421.88
ACC-0184,Blue River Plumbing,Construction,NC,2024-10-29,65500,12,1.212,1889.36,On Track,6615.5
ACC-0185,Crossroads Dermatology,Healthcare,LA,2024-08-06,110000,9,1.244,3277.87,On Track,15204.44
ACC-0186,Brookstone Pediatrics,Healthcare,NV,2023-06-30,52000,12,1.203,1288.33,On Track,5213.0
ACC-0187,Highland Outfitters,Retail,ME,2024-07-20,46000,6,1.156,1172.95,Paid Off,8862.67
ACC-0188,Summit Urgent Care,Healthcare,KY,2024-06-22,243500,12,1.197,4827.98,Paid Off,24289.12
ACC-0189,Downtown Cafe,Food & Beverage,WI,2023-07-31,68500,12,1.35,1908.23,On Track,7706.25
ACC-0190,Golden State Kitchen,Food & Beverage,LA,2024-05-10,37000,6,1.339,675.88,On Track,8257.17
ACC-0191,Emerald Carpentry,Construction,AR,2023-07-04,37500,6,1.431,622.34,On Track,8943.75
ACC-0192,Patriot Marketplace,E-Commerce,ME,2024-01-18,32500,12,1.389,961.96,Late,3761.88
ACC-0193,Sunrise Shop,E-Commerce,NE,2024-08-05,92000,9,1.32,2572.51,On Track,13493.33
ACC-0194,Stonebridge Vision Center,Healthcare,CA,2023-05-18,45000,18,1.191,879.96,Late,2977.5
ACC-0195,Granite Freight,Logistics,KS,2023-09-04,59000,12,1.319,1482.53,On Track,6485.08
ACC-0196,Prairie Mercantile,Retail,FL,2024-08-04,53000,12,1.168,1166.28,On Track,5158.67
ACC-0197,Oakline Medical Group,Healthcare,MT,2023-11-28,82000,9,1.279,1627.45,Paid Off,11653.11
ACC-0198,Cedar Grove Goods,Retail,OR,2024-12-03,34500,12,1.267,665.91,On Track,3642.62
ACC-0199,Vanguard Dermatology,Healthcare,WI,2023-01-06,30500,18,1.278,519.73,On Track,2165.5
ACC-0200,Pioneer Hauling,Logistics,MD,2024-06-11,62000,6,1.234,1440.87,Defaulted,12751.33
ACC-0201,Market Street Chiropractic,Healthcare,UT,2024-08-18,76500,9,1.356,1659.97,On Track,11526.0
ACC-0202,Crossroads Logistics Group,Logistics,HI,2024-11-01,66000,9,1.402,1497.06,On Track,10281.33
ACC-0203,Heritage Dermatology,Healthcare,SC,2023-04-25,35000,9,1.381,638.06,On Track,5370.56
ACC-0204,Pine Hollow Remodeling,Construction,NH,2024-12-20,80000,12,1.338,2326.33,On Track,8920.0
ACC-0205,Lakeside Dermatology,Healthcare,PA,2023-10-14,36500,9,1.312,897.13,Late,5320.89
ACC-0206,Brookstone Pizzeria,Food & Beverage,PA,2023-09-15,41500,12,1.159,1182.5,On Track,4008.21
ACC-0207,Lone Star Excavation,Construction,NE,2023-09-17,32500,9,1.367,540.77,Defaulted,4936.39
ACC-0208,Evergreen Trucking,Logistics,IL,2024-04-11,112500,6,1.313,2738.56,Paid Off,24618.75
ACC-0209,Pine Hollow Pizzeria,Food & Beverage,NE,2024-04-26,78000,9,1.231,2163.87,Defaulted,10668.67
ACC-0210,Pioneer HVAC Services,Construction,TN,2023-12-13,76500,18,1.248,1527.23,Late,5304.0
ACC-0211,Heritage Taproom,Food & Beverage,WI,2023-02-21,109000,12,1.431,1954.06,Defaulted,12998.25
ACC-0212,New Day Masonry,Construction,WA,2024-12-22,250000,9,1.337,4743.83,Paid Off,37138.89
ACC-0213,Prairie Carpentry,Construction,GA,2023-06-12,21500,12,1.293,410.52,On Track,2316.62
ACC-0214,Copper Dermatology,Healthcare,NJ,2023-03-10,36500,6,1.336,792.34,On Track,8127.33
ACC-0215,Stonebridge Roofing,Construction,CO,2024-03-12,39000,9,1.274,775.69,Paid Off,5520.67
ACC-0216,Hometown Pizzeria,Food & Beverage,ND,2023-10-29,34500,9,1.291,657.88,On Track,4948.83
ACC-0217,New Day Market,Retail,WY,2024-03-25,30500,18,1.237,754.19,Paid Off,2096.03
ACC-0218,Brookstone Trading Co.,Retail,AZ,2024-10-02,46500,12,1.282,734.49,On Track,4967.75
ACC-0219,Summit Wellness Clinic,Healthcare,NC,2023-03-13,28000,12,1.356,562.95,Late,3164.0
ACC-0220,Lakeside Freight,Logistics,WV,2023-07-27,66000,6,1.162,1672.85,On Track,12782.0
ACC-0221,Pine Hollow Market,Retail,TX,2024-01-13,56500,6,1.389,996.53,Defaulted,13079.75
ACC-0222,New Day Chiropractic,Healthcare,MD,2024-07-29,71500,12,1.235,1309.45,On Track,7358.54
ACC-0223,Market Street Carpentry,Construction,CO,2024-03-15,72500,9,1.355,1305.72,On Track,10915.28
ACC-0224,Mainline Grill,Food & Beverage,WA,2023-10-07,76500,18,1.343,1148.56,Late,5707.75
ACC-0225,Midtown Carpentry,Construction,WA,2024-03-21,45000,12,1.346,994.79,Late,5047.5
ACC-0226,Golden State Grill,Food & Beverage,NH,2024-12-17,176500,9,1.332,2750.64,Paid Off,26122.0
ACC-0227,Evergreen Remodeling,Construction,WI,2023-12-17,62500,12,1.438,1193.38,Defaulted,7489.58
ACC-0228,Heritage Online,E-Commerce,AL,2024-10-07,19500,18,1.303,583.48,On Track,1411.58
ACC-0229,Northwind Fulfillment,E-Commerce,NM,2024-07-24,31500,9,1.37,906.44,Late,4795.0
ACC-0230,Willow Eatery,Food & Beverage,AK,2023-08-09,21000,12,1.362,382.75,On Track,2383.5
ACC-0231,Cascade Dermatology,Healthcare,WA,2023-07-02,55500,18,1.221,1090.58,On Track,3764.75
ACC-0232,Rocky Peak Express,Logistics,OH,2024-07-17,51500,9,1.235,1130.71,On Track,7066.94
ACC-0233,Northwind Boutique,Retail,VA,2023-06-01,42500,18,1.277,1175.81,On Track,3015.14
ACC-0234,Ironclad Plumbing,Construction,NH,2023-09-04,166000,6,1.233,4488.59,Paid Off,34113.0
ACC-0235,Old Town Family Dental,Healthcare,CA,2023-06-22,74500,12,1.26,1258.57,Paid Off,7822.5
ACC-0236,Coastal Contracting,Construction,AK,2024-03-19,82000,12,1.267,1383.07,On Track,8657.83
ACC-0237,Keystone DTC,E-Commerce,KY,2023-08-04,33000,12,1.331,701.28,Defaulted,3660.25
ACC-0238,Meridian Medical Group,Healthcare,PA,2024-04-26,31500,9,1.216,883.62,On Track,4256.0
ACC-0239,Heritage Pizzeria,Food & Beverage,DE,2024-11-14,56000,12,1.391,1580.95,On Track,6491.33
ACC-0240,Summit Commerce Co.,E-Commerce,TX,2024-08-29,60500,6,1.281,1004.93,Paid Off,12916.75
ACC-0241,Beacon Market,Retail,ID,2024-11-23,20000,9,1.362,472.29,On Track,3026.67
ACC-0242,Highland Commerce Co.,E-Commerce,MO,2023-01-18,50000,9,1.174,866.76,On Track,6522.22
ACC-0243,Highland Boutique,Retail,HI,2023-11-29,55500,12,1.291,1403.7,Paid Off,5970.88
ACC-0244,Trailhead Direct,E-Commerce,MS,2023-06-10,49000,9,1.158,1408.58,On Track,6304.67
ACC-0245,Copper DTC,E-Commerce,MN,2024-11-01,35000,9,1.353,763.75,On Track,5261.67
ACC-0246,Northwind Dry Goods,Retail,AL,2024-06-04,41000,18,1.253,666.1,Paid Off,2854.06
ACC-0247,Rocky Peak Builders,Construction,NH,2023-08-23,50000,9,1.435,1184.44,On Track,7972.22
ACC-0248,Old Town Vision Center,Healthcare,SC,2024-02-16,58000,9,1.247,1225.41,Late,8036.22
